candidate_id,task_id,resurrection_score,rationale,data_or_model_hooks,notes
RC0001,gc:VESSEL12,3,Closed imaging challenge; modern SSL/VLM/agents may unlock new baselines,GrandChallenge+TCIA+OpenAlex transfer_candidates,The VESSEL12 challenge compares methods for automatic (and semi-automatic) segmentation of blood vessels in the lungs from CT images.
RC0002,gc:CRASS,4,Closed imaging challenge; modern SSL/VLM/agents may unlock new baselines,GrandChallenge+TCIA+OpenAlex transfer_candidates,CRASS stands for Chest Radiograph Anatomical Structure Segmentation. The challenge currently invites participants to send in results for clavicle segmentation algorithms.
RC0003,gc:ANODE09,2,Closed imaging challenge; modern SSL/VLM/agents may unlock new baselines,GrandChallenge+TCIA+OpenAlex transfer_candidates,"ANODE09 is an initiative to compare systems that perform automatic detection of pulmonary nodules in chest CT scans on a single common database, with a single evaluation protocol."
RC0004,gc:CAUSE07,3,Closed imaging challenge; modern SSL/VLM/agents may unlock new baselines,GrandChallenge+TCIA+OpenAlex transfer_candidates,The goal of CAUSE07 is to compare different algorithms to segment the caudate nucleaus from brain MRI scans.
RC0005,gc:subsolidNodules,3,Closed imaging challenge; modern SSL/VLM/agents may unlock new baselines,GrandChallenge+TCIA+OpenAlex transfer_candidates,We are presenting results of our segmentation method for subsolid lung nodules.
RC0006,gc:CADDementia,2,Closed imaging challenge; modern SSL/VLM/agents may unlock new baselines,GrandChallenge+TCIA+OpenAlex transfer_candidates,"We seek algorithms that perform multi-class classification of patients with Alzheimer’s disease (AD), patients with mild cognitive impairment (MCI) and healthy controls (CN) using "
RC0007,gc:MITOS-ATYPIA-14,2,Closed imaging challenge; modern SSL/VLM/agents may unlock new baselines,GrandChallenge+TCIA+OpenAlex transfer_candidates,"MITOS & ATYPIA 14 Contest, hosted by conference ICPR 2014Detection of mitosis and evaluation of nuclear atypia on breast cancer H&E stained images"
RC0008,gc:PROMISE12,3,Closed imaging challenge; modern SSL/VLM/agents may unlock new baselines,GrandChallenge+TCIA+OpenAlex transfer_candidates,The goal of this challenge is to compare interactive and (semi)-automatic segmentation algorithms for MRI of the prostate.
RC0009,gc:CAMELYON16,2,Closed imaging challenge; modern SSL/VLM/agents may unlock new baselines,GrandChallenge+TCIA+OpenAlex transfer_candidates,The goal of this challenge is to evaluate new and existing algorithms for automated detection of cancer metastasis in digitized lymph node tissue sections. Two large datasets from 
RC0010,gc:ISBI-AIDA,2,Closed imaging challenge; modern SSL/VLM/agents may unlock new baselines,GrandChallenge+TCIA+OpenAlex transfer_candidates,ISBI Endoscopic Image Challenge
RC0011,gc:LUNA16,2,Closed imaging challenge; modern SSL/VLM/agents may unlock new baselines,GrandChallenge+TCIA+OpenAlex transfer_candidates,The LUNA16 challenge: automatic nodule detection on chest CT
RC0012,gc:RETOUCH,3,Closed imaging challenge; modern SSL/VLM/agents may unlock new baselines,GrandChallenge+TCIA+OpenAlex transfer_candidates,Retinal OCT Fluid Challenge (RETOUCH) compares automated algorithms that are able to detect and segment different types of retinal fluid in optical coherence tomography (OCT).
RC0013,gc:CATARACTS,2,Closed imaging challenge; modern SSL/VLM/agents may unlock new baselines,GrandChallenge+TCIA+OpenAlex transfer_candidates,The Challenge on Automatic Tool Annotation for cataRACT Surgery aims at evaluating image-based tool detection algorithms in the context of the most common surgical procedure in the
RC0014,gc:TADPOLE,2,Closed imaging challenge; modern SSL/VLM/agents may unlock new baselines,GrandChallenge+TCIA+OpenAlex transfer_candidates,The Alzheimer’s Disease Prediction Of Longitudinal Evolution (TADPOLE) challenge is brought to you by the EuroPOND consortium in collaboration with the Alzheimer’s Disease Neuroima
RC0015,gc:CoronARe,2,Closed imaging challenge; modern SSL/VLM/agents may unlock new baselines,GrandChallenge+TCIA+OpenAlex transfer_candidates,"CoronARe ranks state-of-the-art methods in symbolic and tomographic coronary artery reconstruction from interventional C-arm rotational angiography. Specifically, we will benchmark"
