candidate_id,source_paper_id,target_domain,transfer_hypothesis,risk_notes,notes
TC0001,openalex:W3213146795,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2021
TC0002,openalex:W3214720784,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2021
TC0003,openalex:W3209525070,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2021
TC0004,openalex:W3212454505,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2021
TC0005,openalex:W3211382623,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2021
TC0006,openalex:W3212600855,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2021
TC0007,openalex:W3214033620,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2021
TC0008,openalex:W3211671711,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2021
TC0009,openalex:W3214213327,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2021
TC0010,openalex:W3213117562,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2021
TC0011,openalex:W3212845479,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2021
TC0012,openalex:W3212743778,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2021
TC0013,openalex:W3212273992,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2021
TC0014,openalex:W3214419470,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2021
TC0015,openalex:W3100622512,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2020
TC0016,openalex:W3104096772,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2020
TC0017,openalex:W3103690655,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2020
TC0018,openalex:W3102434761,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2020
TC0019,openalex:W3106025909,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2020
TC0020,openalex:W3100039191,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2020
TC0021,openalex:W3103886171,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2020
TC0022,openalex:W3105891528,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2020
TC0023,openalex:W3098182066,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2020
TC0024,openalex:W3101246443,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2020
TC0025,openalex:W3104016060,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2020
TC0026,openalex:W3098463918,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2020
TC0027,openalex:W3101364720,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2020
TC0028,openalex:W2970854840,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2019
TC0029,openalex:W2970657225,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2019
TC0030,openalex:W2970928194,medical_imaging,Evaluate method transfer to radiology/pathology segmentation or diagnosis benchmarks,domain_shift; external validation needed,T025+T030 seed from NeurIPS 2019
