query_id,family,template,tags,notes
FQ001,frontier,"(""scientific discovery agent"") AND (LLM OR ""large language model"" OR agent OR multi-agent)","tool_use,memory",
FQ002,frontier,"(""AI scientist"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",agentic,
FQ003,frontier,"(""autonomous scientific experimentation"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",tools,
FQ004,frontier,"(""literature grounded reasoning biomedical"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",RAG,
FQ005,frontier,"(""hypothesis generation large language model"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",gen,
FQ006,frontier,"(""self-improving agent"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",self_evolve,
FQ007,frontier,"(""agent skill acquisition"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",memory,
FQ008,frontier,"(""multi-agent collaboration research"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",collab,
FQ009,frontier,"(""world model scientific domain"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",simulation,
FQ010,frontier,"(""closed loop laboratory assistant"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",tools,
FQ011,frontier,"(""biomedical clinical agent"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",clinical,
FQ012,frontier,"(""clinical decision support large language model"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",workflow,
FQ013,frontier,"(""EHR documentation agent safety"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",safety,
FQ014,frontier,"(""medication reconciliation clinical NLP"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",workflow,
FQ015,frontier,"(""radiology report generation foundation model"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",radiology,
FQ016,frontier,"(""scaling laws biomedical machine learning"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",scaling,
FQ017,frontier,"(""web scale biomedical retrieval"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",RAG,
FQ018,frontier,"(""long context clinical summarization"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",context,
FQ019,frontier,"(""evidence synthesis systematic review automation"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",synthesis,
FQ020,frontier,"(""systematic review large language model"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",meta,
FQ021,frontier,"(""clinical trial matching patient eligibility"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",trials,
FQ022,frontier,"(""longitudinal patient trajectory modeling"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",longitudinal,
FQ023,frontier,"(""rare disease diagnosis decision support"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",rare,
FQ024,frontier,"(""differential diagnosis retrieval benchmark"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",dx,
FQ025,frontier,"(""atypical presentation case clustering"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",cases,
FQ026,frontier,"(""weak supervision medical imaging"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",WS,
FQ027,frontier,"(""foundation model medical imaging"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",FM,
FQ028,frontier,"(""uncertainty quantification clinical AI"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",UQ,
FQ029,frontier,"(""external validation clinical AI deployment"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",eval,
FQ030,frontier,"(""federated learning multi-center clinical"") AND (LLM OR ""large language model"" OR agent OR multi-agent)",FL,
