case_id,pmid,pmcid,source_url,local_path,file_hash,retrieval_time_utc,fulltext_status,notes
pmid:41743333,41743333,PMC12930002,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12930002/fullTextXML,research_ops/cache/fulltext/T211_PMC12930002.xml,e6667a58deb77e9629c4bf99f3618f7034e7f4cfbe3d8989ecd569e1b9d4dce7,2026-04-01T15:47:56Z,ingested,T211 pilot
pmid:41799635,41799635,PMC12961207,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12961207/fullTextXML,research_ops/cache/fulltext/T211_PMC12961207.xml,197420d4f57b729ed47e9bd571f55cd0422680ace02e19625dfa0c81ea4ab130,2026-04-01T15:47:56Z,ingested,T211 pilot
pmid:41736847,41736847,PMC12927947,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12927947/fullTextXML,research_ops/cache/fulltext/T211_PMC12927947.xml,0480eda6ffe563622a9e3b2783cc21e2a437a419f57625a771725be9c3174004,2026-04-01T15:47:56Z,ingested,T211 pilot
pmid:41705524,41705524,PMC12917906,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12917906/fullTextXML,research_ops/cache/fulltext/T211_PMC12917906.xml,8669794309fa8d0d9fb0f81bebb08c696b7c55abcba8a5b9c10dc8774fe45d4c,2026-04-01T15:47:56Z,ingested,T211 pilot
pmid:41782281,41782281,PMC12973870,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12973870/fullTextXML,research_ops/cache/fulltext/T211_PMC12973870.xml,a27f55f0f2f26d5f4e3dc1fae8fa41c0c7b756c96dca926fbc3a8f96fb4055db,2026-04-01T15:47:56Z,ingested,T211 pilot
pmid:41810059,41810059,PMC12968428,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12968428/fullTextXML,research_ops/cache/fulltext/T211_PMC12968428.xml,29a18869ccb4407463464a58cca450ba9be171edff271e7ca4b95da34f14eb5d,2026-04-01T15:47:56Z,ingested,T211 pilot
pmid:41884188,41884188,PMC13010003,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13010003/fullTextXML,research_ops/cache/fulltext/T211_PMC13010003.xml,6103a2f38f635574c634a1d0d7e6b35ac91353ec9e523565630b54adeaec0822,2026-04-01T15:47:56Z,ingested,T211 pilot
pmid:41767081,41767081,PMC12946650,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12946650/fullTextXML,research_ops/cache/fulltext/T211_PMC12946650.xml,85487801383e36df02ab597fffae1672e8fd3e6045b72568b0d9458131ab8f48,2026-04-01T15:47:56Z,ingested,T211 pilot
pmid:41666894,41666894,PMC12890349,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12890349/fullTextXML,research_ops/cache/fulltext/T211_PMC12890349.xml,a2c1b0913815f72a9ac162b616794fba6e9a29a2194e6f28dd5bbf5471d5e3a2,2026-04-01T15:47:56Z,ingested,T211 pilot
pmid:41669003,41669003,PMC12884157,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12884157/fullTextXML,research_ops/cache/fulltext/T211_PMC12884157.xml,f23594fd7f132733a14b41eb855a248f6f5f275e61cbf8e9696169278f102b3b,2026-04-01T15:47:56Z,ingested,T211 pilot
pmid:41907047,41907047,PMC13019098,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13019098/fullTextXML,research_ops/cache/fulltext/T211_PMC13019098.xml,589a7ea062296f8c7b68a07266f52462153773e8eeef9596500d63dbc30dbc2f,2026-04-01T15:47:56Z,ingested,T211 pilot
pmid:41710103,41710103,PMC12909552,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12909552/fullTextXML,research_ops/cache/fulltext/T211_PMC12909552.xml,48d2cec0aa4245e21ea9f7f92b2102a530393de93e4e8e2189cefb4d7f90c1d4,2026-04-01T15:47:56Z,ingested,T211 pilot
pmid:41755372,41755372,PMC12955244,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12955244/fullTextXML,research_ops/cache/fulltext/T211_PMC12955244.xml,e7d13ed7f48edef26dde9666cd357bee24ba6c30f3e141b12bf042fb3c40708f,2026-04-01T15:47:56Z,ingested,T211 pilot
pmid:41666880,41666880,PMC12890333,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12890333/fullTextXML,research_ops/cache/fulltext/T211_PMC12890333.xml,50eb160c28f0e4ef07abdae70721c3ecf05bf9fee00bde096e6e0f6b00ed950b,2026-04-01T15:47:56Z,ingested,T211 pilot
pmid:41718301,41718301,PMC12922057,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12922057/fullTextXML,research_ops/cache/fulltext/T211_PMC12922057.xml,06d78d17d21352d741de83941d1f480bfed80c124c396860bed9b268b1814a59,2026-04-01T15:47:56Z,ingested,T211 pilot
pmid:41767094,41767094,PMC12949300,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12949300/fullTextXML,research_ops/cache/fulltext/T211_PMC12949300.xml,f52eaa696da79d6227b64cf245ea2ec3b67c09e13793108d4f8406cdfda59915,2026-04-01T15:47:56Z,ingested,T211 pilot
pmid:41908640,41908640,PMC13021456,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13021456/fullTextXML,research_ops/cache/fulltext/T211_PMC13021456.xml,4dd1ec17236fa8bc441b667c63569538951d0325073283239ebefd225d82bb59,2026-04-01T15:47:56Z,ingested,T211 pilot
pmid:41782968,41782968,PMC12955551,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12955551/fullTextXML,research_ops/cache/fulltext/T211_PMC12955551.xml,9e81fe3fa9196b4805c97c4fc10c01c7f56dfa050a2686daebc6d16f35da5728,2026-04-01T15:47:56Z,ingested,T211 pilot
pmid:41801837,41801837,PMC12983900,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12983900/fullTextXML,research_ops/cache/fulltext/T211_PMC12983900.xml,c3c5c4254266c9b260a82d71002da23c0117604cfb5ffeab6d1b705c66ac33a1,2026-04-01T15:47:56Z,ingested,T211 pilot
pmid:41778085,41778085,PMC12952959,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12952959/fullTextXML,research_ops/cache/fulltext/T211_PMC12952959.xml,8f0766a6036648f1ac1c2af3d2b0edeeb1c907b0ff02b50d5ecc7c4d512fca58,2026-04-01T15:47:56Z,ingested,T211 pilot
