pain_id,description,clinical_context,severity_hint,notes
PP001,Inbox overload of imaging and lab results,outpatient / radiology,high,
PP002,Prior imaging unavailable at point of care,ED / radiology,high,
PP003,Handoff gaps between specialties,inpatient,high,
PP004,Duplicate testing across sites,system,medium,
PP005,Guideline updates not operationalized in EHR,primary care,medium,
PP006,Medication reconciliation errors at discharge,inpatient,high,
PP007,Pathology backlog delays oncology decisions,oncology,high,
PP008,Radiology report turnaround on nights/weekends,radiology,high,
PP009,Clinical trial eligibility screening manual burden,oncology,medium,
PP010,Rare disease diagnosis delay,genetics,high,
PP011,ICU note bloat obscures trajectory,ICU,medium,
PP012,Prior auth documentation burden,admin,high,
PP013,Patient education materials not personalized,primary care,low,
PP014,Adverse event signal detection from narratives,pharmaco,medium,
PP015,Multimodal data not fused (notes + imaging + labs),multidisciplinary,high,
PP016,Quality metric reporting steals clinic time,ambulatory,medium,
PP017,Language barriers in informed consent,ED,high,
PP018,Home monitoring data not integrated,cardiology,medium,
PP019,Surgical complication documentation inconsistency,surgery,medium,
PP020,Population health panel management scale,primary care,high,
