score_id,problem_ref,why_scalable,data_source,risk,notes
SF001,PP001,high literature+workflow volume; retrieval/synthesis plausibly helps,EHR+imaging+pubmed+trials,governance+liability,
SF002,PP002,high literature+workflow volume; retrieval/synthesis plausibly helps,EHR+imaging+pubmed+trials,governance+liability,
SF003,PP003,high literature+workflow volume; retrieval/synthesis plausibly helps,EHR+imaging+pubmed+trials,governance+liability,
SF004,PP004,high literature+workflow volume; retrieval/synthesis plausibly helps,EHR+imaging+pubmed+trials,governance+liability,
SF005,PP005,high literature+workflow volume; retrieval/synthesis plausibly helps,EHR+imaging+pubmed+trials,governance+liability,
SF006,PP006,high literature+workflow volume; retrieval/synthesis plausibly helps,EHR+imaging+pubmed+trials,governance+liability,
SF007,PP007,high literature+workflow volume; retrieval/synthesis plausibly helps,EHR+imaging+pubmed+trials,governance+liability,
SF008,PP008,high literature+workflow volume; retrieval/synthesis plausibly helps,EHR+imaging+pubmed+trials,governance+liability,
SF009,PP009,high literature+workflow volume; retrieval/synthesis plausibly helps,EHR+imaging+pubmed+trials,governance+liability,
SF010,PP010,high literature+workflow volume; retrieval/synthesis plausibly helps,EHR+imaging+pubmed+trials,governance+liability,
SF011,PP011,high literature+workflow volume; retrieval/synthesis plausibly helps,EHR+imaging+pubmed+trials,governance+liability,
SF012,PP012,high literature+workflow volume; retrieval/synthesis plausibly helps,EHR+imaging+pubmed+trials,governance+liability,
SF013,PP013,high literature+workflow volume; retrieval/synthesis plausibly helps,EHR+imaging+pubmed+trials,governance+liability,
SF014,PP014,high literature+workflow volume; retrieval/synthesis plausibly helps,EHR+imaging+pubmed+trials,governance+liability,
SF015,PP015,high literature+workflow volume; retrieval/synthesis plausibly helps,EHR+imaging+pubmed+trials,governance+liability,
SF016,PP016,high literature+workflow volume; retrieval/synthesis plausibly helps,EHR+imaging+pubmed+trials,governance+liability,
SF017,PP017,high literature+workflow volume; retrieval/synthesis plausibly helps,EHR+imaging+pubmed+trials,governance+liability,
SF018,PP018,high literature+workflow volume; retrieval/synthesis plausibly helps,EHR+imaging+pubmed+trials,governance+liability,
SF019,PP019,high literature+workflow volume; retrieval/synthesis plausibly helps,EHR+imaging+pubmed+trials,governance+liability,
SF020,PP020,high literature+workflow volume; retrieval/synthesis plausibly helps,EHR+imaging+pubmed+trials,governance+liability,
